Sample,Time_us,Raw_u16,Voltage_V
244,244009,13923,0.701090
245,245013,14211,0.715592
246,246009,14451,0.727677
247,247013,14595,0.734928
248,248009,14547,0.732511
249,249009,14339,0.722037
250,250014,14083,0.709146
251,251011,13843,0.697061
252,252015,13731,0.691421
253,253011,13763,0.693033
254,254008,13939,0.701895
255,255012,14211,0.715592
256,256008,14435,0.726871
257,257009,14579,0.734122
258,258015,14547,0.732511
259,259011,14355,0.722843
260,260015,14083,0.709146
261,261011,13843,0.697061
262,262008,13715,0.690616
263,263012,13763,0.693033
264,264008,13939,0.701895
265,265009,14195,0.714786
266,266014,14451,0.727677
267,267010,14579,0.734122
268,268014,14547,0.732511
269,269011,14355,0.722843
270,270014,14099,0.709952
271,271011,13859,0.697867
272,272015,13715,0.690616
273,273014,13763,0.693033
274,274011,13955,0.702701
275,275008,14211,0.715592
276,276012,14451,0.727677
277,277008,14579,0.734122
278,278012,14547,0.732511
279,279009,14355,0.722843
280,280012,14099,0.709952
281,281014,13859,0.697867
282,282011,13731,0.691421
283,283008,13779,0.693838
284,284012,13955,0.702701
285,285008,14211,0.715592
286,286012,14467,0.728482
287,287009,14579,0.734122
288,288012,14547,0.732511
289,289014,14355,0.722843
290,290013,14099,0.709952
291,291009,13859,0.697867
292,292013,13731,0.691421
293,293010,13731,0.691421
294,294013,13939,0.701895
295,295010,14179,0.713980
296,296014,14435,0.726871
297,297014,14579,0.734122
298,298012,14499,0.730094
299,299008,14339,0.722037
300,300012,14067,0.708341
301,301009,13827,0.696255
302,302012,13715,0.690616
303,303009,13715,0.690616
304,304013,13907,0.700284
305,305014,14179,0.713980
306,306011,14419,0.726065
307,307015,14547,0.732511
308,308011,14515,0.730900
309,309015,14355,0.722843
310,310011,14051,0.707535
311,311008,13811,0.695450
312,312012,13715,0.690616
313,313013,13747,0.692227
314,314011,13923,0.701090
315,315015,14179,0.713980
316,316011,14403,0.725260
317,317015,14547,0.732511
318,318011,14531,0.731705
319,319008,14355,0.722843
320,320012,14083,0.709146
321,321014,13827,0.696255
322,322012,13715,0.690616
323,323010,13747,0.692227
324,324014,13955,0.702701
325,325010,14195,0.714786
326,326014,14451,0.727677
327,327011,14579,0.734122
328,328014,14547,0.732511
329,329009,14355,0.722843
330,330014,14083,0.709146
331,331011,13843,0.697061
332,332015,13731,0.691421
333,333011,13747,0.692227
334,334015,13955,0.702701
335,335012,14211,0.715592
336,336008,14451,0.727677
337,337015,14579,0.734122
338,338014,14547,0.732511
339,339010,14355,0.722843
340,340014,14099,0.709952
341,341011,13859,0.697867
342,342014,13715,0.690616
343,343011,13763,0.693033
344,344015,13955,0.702701
345,345012,14211,0.715592
346,346009,14451,0.727677
347,347013,14579,0.734122
348,348009,14531,0.731705
349,349013,14355,0.722843
350,350010,14083,0.709146
351,351014,13843,0.697061
352,352010,13731,0.691421
353,353010,13763,0.693033
354,354009,13939,0.701895
355,355013,14211,0.715592
356,356009,14451,0.727677
357,357013,14579,0.734122
358,358010,14547,0.732511
359,359013,14371,0.723648
360,360010,14083,0.709146
361,361015,13843,0.697061
362,362012,13715,0.690616
363,363009,13747,0.692227
364,364013,13939,0.701895
365,365009,14195,0.714786
366,366013,14435,0.726871
367,367009,14563,0.733317
368,368013,14547,0.732511
369,369010,14355,0.722843
370,370008,14083,0.709146
371,371012,13859,0.697867
372,372009,13715,0.690616
373,373012,13747,0.692227
374,374009,13939,0.701895
375,375013,14211,0.715592
376,376009,14435,0.726871
377,377014,14579,0.734122
378,378011,14547,0.732511
379,379015,14355,0.722843
380,380011,14083,0.709146
381,381008,13843,0.697061
382,382012,13715,0.690616
